Enterprise_ID,Farmer_ID,Enterprise_Type,Primary_Crop,Secondary_Crop,Farm_Size,Farm_Size_Category,Farming_Experience,Farming_Equipment_type,Uses_Irrigation,Depends_on_Rain,Uses_Fertilizer,Uses_Improved_Seeds,Yield_per_Hectare,Profit,Monthly_Income,Monthly_Expense,Value_of_Farm_Assets,Total_Operating_Expenditure,Farm_Income
ENT_000001,FARMER_00001,Crop,Vegetables,Oil Palm,3.14,Small,38,Modern,No,Yes,No,No,1.49,197000,59000,43000,729000,512000,709000
ENT_000002,FARMER_00002,Fish Farming,Various Fish,N/A,283.0,Small,5,Traditional,N/A,N/A,N/A,N/A,0.0,317000,104000,78000,30286000,934000,1251000
ENT_000003,FARMER_00003,Fish Farming,Various Fish,N/A,372.0,Small,14,Integrated,N/A,N/A,N/A,N/A,0.0,274000,93000,70000,65365000,841000,1115000
ENT_000004,FARMER_00003,Livestock,Goats,N/A,131.0,Medium,36,Integrated,N/A,N/A,N/A,N/A,0.0,429000,98000,62000,29031000,742000,1171000
ENT_000005,FARMER_00003,Fish Farming,Various Fish,N/A,115.0,Small,25,Modern,N/A,N/A,N/A,N/A,0.0,161000,32000,19000,15130000,228000,389000
ENT_000006,FARMER_00004,Fish Farming,Various Fish,N/A,834.0,Medium,5,Traditional,N/A,N/A,N/A,N/A,0.0,672000,253000,197000,62357000,2363000,3035000
ENT_000007,FARMER_00005,Livestock,Cattle,N/A,32.0,Small,44,Integrated,N/A,N/A,N/A,N/A,0.0,354000,53000,23000,4239000,278000,632000
ENT_000008,FARMER_00005,Fish Farming,Various Fish,N/A,150.0,Small,4,Integrated,N/A,N/A,N/A,N/A,0.0,199000,62000,46000,35163000,551000,750000
ENT_000009,FARMER_00006,Livestock,Sheep,N/A,221.0,Large,12,Integrated,N/A,N/A,N/A,N/A,0.0,1664000,367000,228000,41838000,2741000,4405000
ENT_000010,FARMER_00006,Crop,Cowpea,None,1.07,Small,8,Integrated,No,Yes,No,Yes,2.13,372000,54000,23000,162000,272000,644000
ENT_000011,FARMER_00007,Crop,Millet,Cocoa,7.94,Medium,4,Traditional,No,Yes,No,Yes,4.36,3688000,649000,342000,1292000,4101000,7789000
ENT_000012,FARMER_00007,Crop,Groundnut,Cocoa,14.94,Large,2,Modern,No,Yes,Yes,Yes,2.97,4408000,960000,592000,2137000,7109000,11517000
